"DateTime","Temperature","Dew Point","Relative Humidity"
"2025-02-17 20:55:00",37.4,30.09,74.96
"2025-02-17 21:05:00",37.4,30.09,74.96
"2025-02-17 21:20:00",37.4,30.09,74.96
"2025-02-17 21:35:00",37.4,30.09,74.96
"2025-02-17 21:50:00",37.4,30.09,74.96
"2025-02-17 22:00:00",37.4,30.09,74.96
"2025-02-17 22:15:00",37.4,30.09,74.96
"2025-02-17 22:30:00",35.6,30.11,80.49
"2025-02-17 22:40:00",33.8,30.15,86.48
"2025-02-17 22:53:00",33.8,30.15,86.48
"2025-02-17 22:56:00",33.08,30.88,91.65
"2025-02-17 23:10:00",33.8,30.15,86.48
"2025-02-17 23:20:00",33.8,30.15,86.48
"2025-02-17 23:35:00",33.8,30.15,86.48
"2025-02-17 23:50:00",33.8,30.15,86.48
"2025-02-18 00:00:00",33.8,31.96,93.02
"2025-02-18 00:15:00",33.8,31.96,93.02
"2025-02-18 00:30:00",33.8,31.96,93.02
"2025-02-18 00:40:00",33.8,31.96,93.02
"2025-02-18 00:55:00",33.8,30.15,86.48
"2025-02-18 01:05:00",33.8,30.15,86.48
"2025-02-18 01:20:00",33.8,31.96,93.02
"2025-02-18 01:35:00",33.8,30.15,86.48
"2025-02-18 01:50:00",33.8,30.15,86.48
"2025-02-18 02:00:00",32,30.16,92.96
"2025-02-18 02:15:00",33.8,30.15,86.48
"2025-02-18 02:30:00",33.8,30.15,86.48
"2025-02-18 02:45:00",33.8,30.15,86.48
"2025-02-18 02:56:00",33.08,30.88,91.65
"2025-02-18 03:10:00",33.8,30.15,86.48
"2025-02-18 03:25:00",32,30.16,92.96
"2025-02-18 03:40:00",32,30.16,92.96
"2025-02-18 03:55:00",32,30.16,92.96
"2025-02-18 04:05:00",33.8,30.15,86.48
"2025-02-18 04:20:00",32,30.16,92.96
"2025-02-18 04:35:00",32,30.16,92.96
"2025-02-18 04:50:00",32,30.16,92.96
"2025-02-18 05:00:00",30.2,28.36,92.91
"2025-02-18 05:15:00",30.2,28.36,92.91
"2025-02-18 05:30:00",30.2,28.36,92.91
"2025-02-18 05:45:00",32,30.16,92.96
"2025-02-18 05:56:00",32,29.98,92.28
"2025-02-18 06:10:00",30.2,28.36,92.91
"2025-02-18 06:25:00",32,30.16,92.96
"2025-02-18 06:40:00",32,30.16,92.96
"2025-02-18 06:55:00",30.2,28.36,92.91
"2025-02-18 07:05:00",30.2,28.36,92.91
"2025-02-18 07:20:00",30.2,28.36,92.91
"2025-02-18 07:35:00",30.2,28.36,92.91
"2025-02-18 07:50:00",32,28.35,86.37
"2025-02-18 08:00:00",32,30.16,92.96
"2025-02-18 08:15:00",33.8,30.15,86.48
"2025-02-18 08:30:00",33.8,30.15,86.48
"2025-02-18 08:45:00",33.8,30.15,86.48
"2025-02-18 08:56:00",33.98,31.96,92.35
"2025-02-18 09:10:00",35.6,33.76,93.08
"2025-02-18 09:25:00",37.4,33.75,86.68
"2025-02-18 09:40:00",37.4,30.09,74.96
"2025-02-18 09:55:00",35.6,30.11,80.49
"2025-02-18 10:05:00",35.6,30.11,80.49
"2025-02-18 10:20:00",37.4,30.09,74.96
"2025-02-18 10:35:00",37.4,31.91,80.63
"2025-02-18 10:50:00",37.4,30.09,74.96
"2025-02-18 11:00:00",37.4,30.09,74.96
"2025-02-18 11:15:00",37.4,28.27,69.64
"2025-02-18 11:30:00",37.4,30.09,74.96
"2025-02-18 11:45:00",37.4,28.27,69.64
"2025-02-18 11:56:00",37.94,26.8,64.25
"2025-02-18 12:10:00",39.2,28.26,64.9
"2025-02-18 12:25:00",39.2,26.44,60.26
"2025-02-18 12:40:00",39.2,28.26,64.9
"2025-02-18 12:55:00",39.2,28.26,64.9
"2025-02-18 13:05:00",39.2,26.44,60.26
"2025-02-18 13:20:00",39.2,26.44,60.26
"2025-02-18 13:35:00",39.2,26.44,60.26
"2025-02-18 13:50:00",39.2,28.26,64.9
"2025-02-18 14:00:00",39.2,26.44,60.26
"2025-02-18 14:15:00",39.2,26.44,60.26
"2025-02-18 14:30:00",41,26.42,56.19
"2025-02-18 14:45:00",41,26.42,56.19
"2025-02-18 14:56:00",39.92,25.88,57.29
"2025-02-18 15:10:00",41,26.42,56.19
"2025-02-18 15:25:00",41,24.6,52.13
"2025-02-18 15:40:00",39.2,24.62,55.91
"2025-02-18 15:55:00",39.2,26.44,60.26
"2025-02-18 16:05:00",39.2,26.44,60.26
"2025-02-18 16:20:00",39.2,26.44,60.26
"2025-02-18 16:35:00",39.2,26.44,60.26
"2025-02-18 16:50:00",39.2,26.44,60.26
"2025-02-18 17:00:00",39.2,26.44,60.26
"2025-02-18 17:15:00",39.2,26.44,60.26
"2025-02-18 17:30:00",39.2,26.44,60.26
"2025-02-18 17:45:00",39.2,26.44,60.26
"2025-02-18 17:56:00",39.92,25.88,57.29
"2025-02-18 18:10:00",39.2,26.44,60.26
"2025-02-18 18:25:00",39.2,26.44,60.26
"2025-02-18 18:40:00",37.4,26.46,64.66
"2025-02-18 18:55:00",37.4,28.27,69.64
"2025-02-18 19:05:00",37.4,26.46,64.66
"2025-02-18 19:20:00",35.6,26.47,69.43
"2025-02-18 19:35:00",35.6,26.47,69.43
"2025-02-18 19:50:00",33.8,26.49,74.6
"2025-02-18 20:00:00",35.6,24.64,64.42
"2025-02-18 20:15:00",33.8,26.49,74.6
"2025-02-18 20:30:00",33.8,26.49,74.6
"2025-02-18 20:45:00",33.8,28.31,80.34
"2025-02-18 20:56:00",33.98,26.85,75.17
"2025-02-18 21:10:00",33.8,26.49,74.6
"2025-02-18 21:25:00",32,26.51,80.19
"2025-02-18 21:40:00",32,28.35,86.37
"2025-02-18 21:55:00",33.8,28.31,80.34
"2025-02-18 22:05:00",35.6,28.29,74.78
"2025-02-18 22:20:00",33.8,26.49,74.6
"2025-02-18 22:35:00",33.8,26.49,74.6
"2025-02-18 22:50:00",28.4,24.75,86.15
"2025-02-18 23:00:00",28.4,26.56,92.85
"2025-02-18 23:15:00",28.4,26.56,92.85
"2025-02-18 23:30:00",28.4,24.75,86.15
"2025-02-18 23:45:00",28.4,26.56,92.85
"2025-02-18 23:56:00",30.02,26.91,88.2
"2025-02-19 00:10:00",30.2,28.36,92.91
"2025-02-19 00:25:00",28.4,24.75,86.15
"2025-02-19 00:40:00",28.4,24.75,86.15
"2025-02-19 00:55:00",28.4,26.56,92.85
"2025-02-19 01:05:00",28.4,24.75,86.15
"2025-02-19 01:20:00",26.6,24.76,92.79
"2025-02-19 01:35:00",28.4,24.75,86.15
"2025-02-19 01:50:00",28.4,26.56,92.85
"2025-02-19 02:00:00",28.4,24.75,86.15
"2025-02-19 02:15:00",28.4,24.75,86.15
"2025-02-19 02:30:00",26.6,22.93,86.04
"2025-02-19 02:45:00",26.6,22.93,86.04
"2025-02-19 02:56:00",28.04,24.01,84.84
"2025-02-19 03:10:00",28.4,24.75,86.15
"2025-02-19 03:25:00",24.8,21.13,85.93
"2025-02-19 03:40:00",26.6,22.93,86.04
"2025-02-19 03:55:00",26.6,22.93,86.04
"2025-02-19 04:05:00",26.6,21.11,79.74
"2025-02-19 04:20:00",26.6,21.11,79.74
"2025-02-19 04:35:00",26.6,21.11,79.74
"2025-02-19 04:50:00",26.6,21.11,79.74
"2025-02-19 05:00:00",24.8,21.13,85.93
"2025-02-19 05:15:00",26.6,21.11,79.74
"2025-02-19 05:30:00",24.8,21.13,85.93
"2025-02-19 05:45:00",24.8,21.13,85.93
"2025-02-19 05:56:00",24.98,20.95,84.64
"2025-02-19 06:10:00",24.8,21.13,85.93
"2025-02-19 06:25:00",24.8,19.31,79.58
"2025-02-19 06:40:00",26.6,21.11,79.74
"2025-02-19 06:55:00",28.4,21.07,74.03
"2025-02-19 07:05:00",26.6,21.11,79.74
"2025-02-19 07:20:00",26.6,19.27,73.84
"2025-02-19 07:35:00",26.6,21.11,79.74
"2025-02-19 07:50:00",26.6,21.11,79.74
"2025-02-19 08:00:00",28.4,21.07,74.03
"2025-02-19 08:15:00",28.4,22.91,79.89
"2025-02-19 08:30:00",28.4,24.75,86.15
"2025-02-19 08:45:00",30.2,24.71,80.04
"2025-02-19 08:56:00",30.02,21.79,71.44
"2025-02-19 09:10:00",30.2,22.89,74.22
"2025-02-19 09:25:00",30.2,24.71,80.04
"2025-02-19 09:40:00",33.8,21.02,59.48
"2025-02-19 09:55:00",33.8,21.02,59.48
"2025-02-19 10:05:00",33.8,21.02,59.48
"2025-02-19 10:20:00",33.8,21.02,59.48
"2025-02-19 10:35:00",35.6,22.82,59.74
"2025-02-19 10:50:00",35.6,21,55.36
"2025-02-19 11:00:00",35.6,21,55.36
"2025-02-19 11:15:00",35.6,21,55.36
"2025-02-19 11:30:00",37.4,21,51.56
"2025-02-19 11:45:00",37.4,21,51.56
"2025-02-19 11:56:00",37.04,21.72,53.92
"2025-02-19 12:10:00",37.4,24.62,60
"2025-02-19 12:25:00",35.6,26.47,69.43
"2025-02-19 12:40:00",37.4,26.46,64.66
"2025-02-19 12:55:00",37.4,24.62,60
"2025-02-19 13:05:00",35.6,26.47,69.43
"2025-02-19 13:20:00",35.6,22.82,59.74
"2025-02-19 13:35:00",37.4,24.62,60
"2025-02-19 13:50:00",37.4,24.62,60
"2025-02-19 14:00:00",37.4,24.62,60
"2025-02-19 14:15:00",37.4,26.46,64.66
"2025-02-19 14:30:00",37.4,24.62,60
"2025-02-19 14:45:00",37.4,26.46,64.66
"2025-02-19 14:56:00",39.02,24.8,56.73
"2025-02-19 15:10:00",37.4,24.62,60
"2025-02-19 15:25:00",37.4,26.46,64.66
"2025-02-19 15:40:00",37.4,28.27,69.64
"2025-02-19 15:55:00",41,26.42,56.19
"2025-02-19 16:05:00",41,26.42,56.19
"2025-02-19 16:20:00",41,26.42,56.19
"2025-02-19 16:35:00",41,26.42,56.19
"2025-02-19 16:50:00",41,26.42,56.19
"2025-02-19 17:00:00",42.8,26.4,52.42
"2025-02-19 17:15:00",42.8,26.4,52.42
"2025-02-19 17:30:00",41,26.42,56.19
"2025-02-19 17:45:00",39.2,26.44,60.26
"2025-02-19 17:56:00",39.92,26.8,59.47
"2025-02-19 18:10:00",39.2,26.44,60.26
"2025-02-19 18:25:00",39.2,26.44,60.26
"2025-02-19 18:40:00",39.2,24.62,55.91
"2025-02-19 18:55:00",37.4,28.27,69.64
"2025-02-19 19:05:00",37.4,28.27,69.64
"2025-02-19 19:20:00",35.6,30.11,80.49
"2025-02-19 19:35:00",37.4,30.09,74.96
"2025-02-19 19:50:00",37.4,28.27,69.64
"2025-02-19 20:00:00",37.4,28.27,69.64
"2025-02-19 20:15:00",37.4,28.27,69.64
"2025-02-19 20:30:00",37.4,28.27,69.64
"2025-02-19 20:45:00",37.4,28.27,69.64
"2025-02-19 20:56:00",37.04,27.91,69.6
"2025-02-19 21:10:00",35.6,30.11,80.49
"2025-02-19 21:25:00",35.6,30.11,80.49
"2025-02-19 21:40:00",35.6,28.29,74.78
"2025-02-19 21:55:00",37.4,26.46,64.66
"2025-02-19 22:05:00",35.6,28.29,74.78
"2025-02-19 22:20:00",33.8,28.31,80.34
"2025-02-19 22:35:00",35.6,28.29,74.78
"2025-02-19 22:50:00",35.6,30.11,80.49
"2025-02-19 23:00:00",35.6,30.11,80.49
"2025-02-19 23:15:00",35.6,30.11,80.49
"2025-02-19 23:30:00",37.4,28.27,69.64
"2025-02-19 23:45:00",37.4,30.09,74.96
"2025-02-19 23:56:00",37.04,30.83,78.29
"2025-02-20 00:10:00",37.4,30.09,74.96
"2025-02-20 00:25:00",37.4,28.27,69.64
"2025-02-20 00:40:00",37.4,28.27,69.64
"2025-02-20 00:55:00",37.4,28.27,69.64
"2025-02-20 01:05:00",37.4,28.27,69.64
"2025-02-20 01:20:00",37.4,30.09,74.96
"2025-02-20 01:35:00",37.4,30.09,74.96
"2025-02-20 01:50:00",37.4,28.27,69.64
"2025-02-20 02:00:00",37.4,30.09,74.96
"2025-02-20 02:15:00",35.6,30.11,80.49
"2025-02-20 02:25:00",35.6,30.11,80.49
"2025-02-20 02:40:00",33.8,30.15,86.48
"2025-02-20 02:50:00",33.8,30.15,86.48
"2025-02-20 02:56:00",33.08,30.88,91.65
"2025-02-20 03:07:00",32,30.16,92.96
"2025-02-20 03:20:00",32,30.16,92.96
"2025-02-20 03:35:00",32,30.16,92.96
"2025-02-20 03:44:00",33.8,30.15,86.48
"2025-02-20 03:55:00",33.8,30.15,86.48
"2025-02-20 04:05:00",33.8,30.15,86.48
"2025-02-20 04:14:00",33.8,30.15,86.48
"2025-02-20 04:25:00",33.8,30.15,86.48
"2025-02-20 04:40:00",33.8,30.15,86.48
"2025-02-20 04:50:00",33.8,30.15,86.48
"2025-02-20 05:00:00",33.8,30.15,86.48
"2025-02-20 05:15:00",33.8,30.15,86.48
"2025-02-20 05:30:00",33.8,30.15,86.48
"2025-02-20 05:40:00",33.8,30.15,86.48
"2025-02-20 05:50:00",33.8,30.15,86.48
"2025-02-20 06:00:00",33.8,30.15,86.48
"2025-02-20 06:15:00",33.8,30.15,86.48
"2025-02-20 06:26:00",32,30.16,92.96
"2025-02-20 06:39:00",32,30.16,92.96
"2025-02-20 06:46:00",32,30.16,92.96
"2025-02-20 06:56:00",32,30.9,95.72
"2025-02-20 07:05:00",32,30.16,92.96
"2025-02-20 07:17:00",32,30.16,92.96
"2025-02-20 07:30:00",32,30.16,92.96
"2025-02-20 07:45:00",32,30.16,92.96
"2025-02-20 07:56:00",33.08,30.88,91.65
"2025-02-20 08:10:00",33.8,30.15,86.48
"2025-02-20 08:25:00",32,30.16,92.96
"2025-02-20 08:40:00",33.8,30.15,86.48
"2025-02-20 08:50:00",33.8,30.15,86.48
"2025-02-20 09:00:00",33.8,30.15,86.48
"2025-02-20 09:15:00",33.8,30.15,86.48
"2025-02-20 09:25:00",33.8,30.15,86.48
"2025-02-20 09:35:00",33.8,31.96,93.02
"2025-02-20 09:45:00",33.8,31.96,93.02
"2025-02-20 09:55:00",33.8,31.96,93.02
"2025-02-20 10:05:00",33.8,31.96,93.02
"2025-02-20 10:20:00",33.8,31.96,93.02
"2025-02-20 10:35:00",33.8,31.96,93.02
"2025-02-20 10:50:00",35.6,33.76,93.08
"2025-02-20 11:00:00",35.6,33.76,93.08
"2025-02-20 11:10:00",35.6,33.76,93.08
"2025-02-20 11:22:00",35.6,33.76,93.08
"2025-02-20 11:32:00",35.6,33.76,93.08
"2025-02-20 11:40:00",35.6,33.76,93.08
"2025-02-20 11:55:00",35.6,33.76,93.08
"2025-02-20 12:05:00",35.6,33.76,93.08
"2025-02-20 12:20:00",35.6,33.76,93.08
"2025-02-20 12:35:00",35.6,31.95,86.58
"2025-02-20 12:50:00",35.6,31.95,86.58
"2025-02-20 13:00:00",35.6,33.76,93.08
"2025-02-20 13:10:00",35.6,33.76,93.08
"2025-02-20 13:25:00",35.6,33.76,93.08
"2025-02-20 13:40:00",35.6,31.95,86.58
"2025-02-20 13:55:00",35.6,33.76,93.08
"2025-02-20 14:05:00",35.6,33.76,93.08
"2025-02-20 14:20:00",35.6,31.95,86.58
"2025-02-20 14:35:00",35.6,31.95,86.58
"2025-02-20 14:50:00",35.6,31.95,86.58
"2025-02-20 15:00:00",35.6,31.95,86.58
"2025-02-20 15:15:00",35.6,31.95,86.58
"2025-02-20 15:30:00",35.6,30.11,80.49
"2025-02-20 15:45:00",35.6,31.95,86.58
"2025-02-20 15:56:00",35.06,31.95,88.46
"2025-02-20 16:07:00",35.6,31.95,86.58
"2025-02-20 16:20:00",35.6,31.95,86.58
"2025-02-20 16:35:00",35.6,31.95,86.58
"2025-02-20 16:50:00",35.6,31.95,86.58
"2025-02-20 17:00:00",35.6,31.95,86.58
"2025-02-20 17:15:00",33.8,30.15,86.48
"2025-02-20 17:25:00",33.8,30.15,86.48
"2025-02-20 17:33:00",33.8,30.15,86.48
"2025-02-20 17:41:00",33.8,30.15,86.48
"2025-02-20 17:55:00",33.8,30.15,86.48
"2025-02-20 18:05:00",33.8,30.15,86.48
"2025-02-20 18:20:00",33.8,30.15,86.48
"2025-02-20 18:30:00",33.8,30.15,86.48
"2025-02-20 18:45:00",33.8,30.15,86.48
"2025-02-20 18:56:00",33.08,30.88,91.65
"2025-02-20 19:10:00",33.8,30.15,86.48
"2025-02-20 19:25:00",33.8,30.15,86.48
"2025-02-20 19:35:00",33.8,30.15,86.48
"2025-02-20 19:50:00",33.8,31.96,93.02
"2025-02-20 20:00:00",33.8,30.15,86.48
"2025-02-20 20:10:00",33.8,30.15,86.48
"2025-02-20 20:20:00",33.8,30.15,86.48
"2025-02-20 20:35:00",33.8,30.15,86.48
"2025-02-20 20:45:00",33.8,30.15,86.48
"2025-02-20 20:55:00",33.8,30.15,86.48
"2025-02-20 21:05:00",33.8,30.15,86.48
"2025-02-20 21:20:00",33.8,30.15,86.48
"2025-02-20 21:35:00",33.8,30.15,86.48
"2025-02-20 21:50:00",33.8,30.15,86.48
"2025-02-20 21:56:00",33.98,30.87,88.4
"2025-02-20 22:10:00",33.8,30.15,86.48
"2025-02-20 22:25:00",33.8,30.15,86.48
