DateTime,Temperature,Dew Point,Relative Humidity
3/18/2025 6:40,35.6,30.11,80.49
3/18/2025 6:55,35.6,30.11,80.49
3/18/2025 7:05,33.8,30.15,86.48
3/18/2025 7:20,35.6,30.11,80.49
3/18/2025 7:35,33.8,30.15,86.48
3/18/2025 7:45,33.8,30.15,86.48
3/18/2025 7:55,33.8,30.15,86.48
3/18/2025 8:05,33.8,30.15,86.48
3/18/2025 8:15,33.8,30.15,86.48
3/18/2025 8:30,33.8,30.15,86.48
3/18/2025 8:40,32,28.35,86.37
3/18/2025 8:52,32,30.16,92.96
3/18/2025 8:59,32,30.16,92.96
3/18/2025 9:10,32,30.16,92.96
3/18/2025 9:19,32,28.35,86.37
3/18/2025 9:25,32,28.35,86.37
3/18/2025 9:40,32,28.35,86.37
3/18/2025 9:55,32,26.51,80.19
3/18/2025 10:05,32,26.51,80.19
3/18/2025 10:20,32,28.35,86.37
3/18/2025 10:35,33.8,28.31,80.34
3/18/2025 10:50,35.6,28.29,74.78
3/18/2025 11:00,33.8,28.31,80.34
3/18/2025 11:10,33.8,28.31,80.34
3/18/2025 11:25,32,26.51,80.19
3/18/2025 11:40,33.8,24.67,69.22
3/18/2025 11:55,33.8,22.84,64.18
3/18/2025 12:05,33.8,22.84,64.18
3/18/2025 12:20,35.6,24.64,64.42
3/18/2025 12:35,35.6,24.64,64.42
3/18/2025 12:50,35.6,21,55.36
3/18/2025 13:00,35.6,21,55.36
3/18/2025 13:15,37.4,22.8,55.64
3/18/2025 13:30,35.6,21,55.36
3/18/2025 13:45,35.6,21,55.36
3/18/2025 13:56,35.96,22.82,58.89
3/18/2025 14:10,35.6,21,55.36
3/18/2025 14:25,37.4,24.62,60
3/18/2025 14:40,37.4,21,51.56
3/18/2025 14:55,37.4,21,51.56
3/18/2025 15:05,37.4,22.8,55.64
3/18/2025 15:20,37.4,21,51.56
3/18/2025 15:35,37.4,22.8,55.64
3/18/2025 15:50,37.4,24.62,60
3/18/2025 16:00,35.6,26.47,69.43
3/18/2025 16:12,35.6,28.29,74.78
3/18/2025 16:25,35.6,26.47,69.43
3/18/2025 16:40,35.6,26.47,69.43
3/18/2025 16:55,33.8,26.49,74.6
3/18/2025 17:05,33.8,26.49,74.6
3/18/2025 17:20,33.8,26.49,74.6
3/18/2025 17:35,33.8,26.49,74.6
3/18/2025 17:50,33.8,26.49,74.6
3/18/2025 18:00,33.8,28.31,80.34
3/18/2025 18:15,33.8,26.49,74.6
3/18/2025 18:24,33.8,26.49,74.6
3/18/2025 18:35,32,28.35,86.37
3/18/2025 18:50,33.8,24.67,69.22
3/18/2025 19:00,33.8,24.67,69.22
3/18/2025 19:15,33.8,24.67,69.22
3/18/2025 19:30,33.8,24.67,69.22
3/18/2025 19:40,33.8,24.67,69.22
3/18/2025 19:55,32,26.51,80.19
3/18/2025 20:05,32,24.69,74.41
3/18/2025 20:15,32,26.51,80.19
3/18/2025 20:30,32,26.51,80.19
3/18/2025 20:45,32,24.69,74.41
3/18/2025 20:56,33.08,24.85,71.78
3/18/2025 21:10,32,26.51,80.19
3/18/2025 21:25,32,26.51,80.19
3/18/2025 21:40,33.8,26.49,74.6
3/18/2025 21:55,30.2,26.55,86.26
3/18/2025 22:05,30.2,24.71,80.04
3/18/2025 22:15,30.2,24.71,80.04
3/18/2025 22:30,30.2,24.71,80.04
3/18/2025 22:45,30.2,24.71,80.04
3/18/2025 22:56,30.92,24.89,78.32
3/18/2025 23:09,30.2,26.55,86.26
3/18/2025 23:15,30.2,26.55,86.26
3/18/2025 23:25,30.2,26.55,86.26
3/18/2025 23:34,30.2,28.36,92.91
3/18/2025 23:45,30.2,26.55,86.26
3/18/2025 23:53,30.2,28.36,92.91
3/19/2025 0:00,30.2,26.55,86.26
3/19/2025 0:10,30.2,26.55,86.26
3/19/2025 0:20,30.2,28.36,92.91
3/19/2025 0:35,30.2,28.36,92.91
3/19/2025 0:50,30.2,26.55,86.26
3/19/2025 1:00,30.2,26.55,86.26
3/19/2025 1:15,30.2,26.55,86.26
3/19/2025 1:29,30.2,26.55,86.26
3/19/2025 1:40,30.2,26.55,86.26
3/19/2025 1:50,28.4,26.56,92.85
3/19/2025 2:00,30.2,26.55,86.26
3/19/2025 2:15,30.2,26.55,86.26
3/19/2025 2:30,30.2,24.71,80.04
3/19/2025 2:45,28.4,24.75,86.15
3/19/2025 2:56,28.04,24.01,84.84
3/19/2025 3:10,28.4,24.75,86.15
3/19/2025 3:25,28.4,24.75,86.15
3/19/2025 3:40,30.2,26.55,86.26
3/19/2025 3:55,30.2,26.55,86.26
3/19/2025 4:05,30.2,26.55,86.26
3/19/2025 4:20,30.2,24.71,80.04
3/19/2025 4:35,28.4,24.75,86.15
3/19/2025 4:50,28.4,24.75,86.15
3/19/2025 5:00,28.4,24.75,86.15
3/19/2025 5:15,28.4,24.75,86.15
3/19/2025 5:30,28.4,22.91,79.89
3/19/2025 5:45,28.4,21.07,74.03
3/19/2025 5:56,30.02,21.79,71.44
3/19/2025 6:10,30.2,21.06,68.78
3/19/2025 6:25,30.2,21.06,68.78
3/19/2025 6:40,30.2,21.06,68.78
3/19/2025 6:55,30.2,22.89,74.22
3/19/2025 7:05,28.4,21.07,74.03
3/19/2025 7:20,30.2,21.06,68.78
3/19/2025 7:35,30.2,21.06,68.78
3/19/2025 7:48,30.2,21.06,68.78
3/19/2025 7:56,30.92,21.78,68.87
3/19/2025 8:10,30.2,21.06,68.78
3/19/2025 8:25,30.2,21.06,68.78
3/19/2025 8:35,28.4,19.26,68.56
3/19/2025 8:50,30.2,22.89,74.22
3/19/2025 9:00,33.8,24.67,69.22
3/19/2025 9:15,32,21.04,63.94
3/19/2025 9:30,32,21.04,63.94
3/19/2025 9:45,32,21.04,63.94
3/19/2025 9:56,32,22.86,69
3/19/2025 10:10,30.2,22.89,74.22
3/19/2025 10:25,33.8,21.02,59.48
3/19/2025 10:40,33.8,21.02,59.48
