DateTime,Temperature,Dew Point,Relative Humidity
2/24/2025 21:05,48.2,33.64,57.25
2/24/2025 21:20,46.4,33.66,61.27
2/24/2025 21:35,46.4,33.66,61.27
2/24/2025 21:50,48.2,31.84,53.26
2/24/2025 22:00,48.2,33.64,57.25
2/24/2025 22:15,51.8,30,43.31
2/24/2025 22:30,48.2,33.64,57.25
2/24/2025 22:45,50,30,46.29
2/24/2025 22:56,48.02,30.74,51.33
2/24/2025 23:10,48.2,30.02,49.51
2/24/2025 23:25,46.4,31.84,56.99
2/24/2025 23:40,48.2,30.02,49.51
2/24/2025 23:55,46.4,33.66,61.27
2/25/2025 0:05,46.4,31.84,56.99
2/25/2025 0:20,44.6,33.67,65.6
2/25/2025 0:35,46.4,30.02,52.98
2/25/2025 0:50,44.6,35.49,70.47
2/25/2025 1:00,44.6,33.67,65.6
2/25/2025 1:15,42.8,33.67,70.27
2/25/2025 1:30,44.6,33.67,65.6
2/25/2025 1:45,44.6,31.86,61.02
2/25/2025 1:56,42.98,31.86,64.92
2/25/2025 2:10,42.8,31.86,65.37
2/25/2025 2:25,44.6,31.86,61.02
2/25/2025 2:40,44.6,30.04,56.72
2/25/2025 2:55,46.4,30.02,52.98
2/25/2025 3:05,46.4,30.02,52.98
2/25/2025 3:20,42.8,30.04,60.77
2/25/2025 3:35,42.8,30.04,60.77
2/25/2025 3:50,44.6,30.04,56.72
2/25/2025 4:00,48.2,28.2,46
2/25/2025 4:15,46.4,28.2,49.22
2/25/2025 4:30,42.8,30.04,60.77
2/25/2025 4:45,41,33.69,75.32
2/25/2025 4:56,39.92,30.79,69.94
2/25/2025 5:10,42.8,30.04,60.77
2/25/2025 5:25,42.8,33.67,70.27
2/25/2025 5:40,41,30.06,65.13
2/25/2025 5:55,44.6,30.04,56.72
2/25/2025 6:05,42.8,30.04,60.77
2/25/2025 6:20,41,30.06,65.13
2/25/2025 6:35,44.6,30.04,56.72
2/25/2025 6:50,39.2,30.07,69.85
2/25/2025 7:00,39.2,31.89,75.14
2/25/2025 7:15,37.4,30.09,74.96
2/25/2025 7:30,37.4,30.09,74.96
2/25/2025 7:45,39.2,30.07,69.85
2/25/2025 7:56,42.08,32.95,70.19
2/25/2025 8:10,42.8,33.67,70.27
2/25/2025 8:25,44.6,33.67,65.6
2/25/2025 8:40,46.4,33.66,61.27
2/25/2025 8:55,48.2,33.64,57.25
2/25/2025 9:05,50,30,46.29
2/25/2025 9:20,53.6,26.4,34.97
2/25/2025 9:35,53.6,22.78,30.09
2/25/2025 9:50,53.6,24.58,32.45
2/25/2025 10:00,51.8,28.2,40.24
2/25/2025 10:15,46.4,33.66,61.27
2/25/2025 10:30,48.2,30.02,49.51
2/25/2025 10:45,48.2,31.84,53.26
2/25/2025 10:56,48.02,30.74,51.33
2/25/2025 11:10,48.2,30.02,49.51
2/25/2025 11:25,48.2,31.84,53.26
2/25/2025 11:40,48.2,31.84,53.26
2/25/2025 11:55,48.2,31.84,53.26
2/25/2025 12:05,48.2,31.84,53.26
2/25/2025 12:20,48.2,30.02,49.51
2/25/2025 12:35,48.2,31.84,53.26
2/25/2025 12:50,51.8,30,43.31
2/25/2025 13:00,51.8,30,43.31
2/25/2025 13:15,51.8,28.2,40.24
2/25/2025 13:30,51.8,28.2,40.24
2/25/2025 13:45,53.6,24.58,32.45
2/25/2025 13:56,53.06,22.78,30.69
2/25/2025 14:10,53.6,22.78,30.09
2/25/2025 14:25,53.6,24.58,32.45
2/25/2025 14:40,53.6,26.4,34.97
2/25/2025 14:55,53.6,26.4,34.97
2/25/2025 15:05,51.8,28.2,40.24
2/25/2025 15:20,51.8,26.38,37.36
2/25/2025 15:35,51.8,28.2,40.24
2/25/2025 15:50,50,28.2,43.01
2/25/2025 16:00,48.2,28.2,46
2/25/2025 16:15,48.2,28.2,46
2/25/2025 16:30,48.2,28.2,46
2/25/2025 16:45,48.2,28.2,46
2/25/2025 16:56,48.02,26.74,43.64
2/25/2025 17:10,46.4,26.4,45.7
2/25/2025 17:25,46.4,28.2,49.22
2/25/2025 17:40,46.4,28.2,49.22
2/25/2025 17:55,44.6,30.04,56.72
2/25/2025 18:05,42.8,30.04,60.77
2/25/2025 18:20,42.8,30.04,60.77
2/25/2025 18:35,41,30.06,65.13
2/25/2025 18:50,41,30.06,65.13
2/25/2025 19:00,41,30.06,65.13
2/25/2025 19:15,41,30.06,65.13
2/25/2025 19:30,39.2,30.07,69.85
