"DateTime","Temperature","Dew Point","Relative Humidity"
"2025-03-31 20:35:00",44.6,35.49,70.47
"2025-03-31 20:50:00",42.8,35.51,75.5
"2025-03-31 21:00:00",42.8,35.51,75.5
"2025-03-31 21:15:00",41,35.53,80.92
"2025-03-31 21:30:00",39.2,35.55,86.79
"2025-03-31 21:40:00",39.2,35.55,86.79
"2025-03-31 21:55:00",39.2,33.73,80.78
"2025-03-31 22:05:00",39.2,33.73,80.78
"2025-03-31 22:20:00",39.2,33.73,80.78
"2025-03-31 22:35:00",39.2,33.73,80.78
"2025-03-31 22:50:00",39.2,33.73,80.78
"2025-03-31 23:00:00",39.2,33.73,80.78
"2025-03-31 23:15:00",39.2,33.73,80.78
"2025-03-31 23:30:00",39.2,33.73,80.78
"2025-03-31 23:45:00",37.4,30.09,74.96
"2025-03-31 23:56:00",39.02,31.89,75.67
"2025-04-01 00:09:00",37.4,31.91,80.63
"2025-04-01 00:20:00",37.4,31.91,80.63
"2025-04-01 00:35:00",37.4,33.75,86.68
"2025-04-01 00:50:00",37.4,33.75,86.68
"2025-04-01 01:00:00",37.4,33.75,86.68
"2025-04-01 01:15:00",37.4,33.75,86.68
"2025-04-01 01:30:00",35.6,33.76,93.08
"2025-04-01 01:45:00",35.6,33.76,93.08
"2025-04-01 01:56:00",35.96,33.94,92.42
"2025-04-01 02:07:00",35.6,33.76,93.08
"2025-04-01 02:19:00",35.6,33.76,93.08
"2025-04-01 02:30:00",35.6,33.76,93.08
"2025-04-01 02:45:00",35.6,33.76,93.08
"2025-04-01 02:55:00",35.6,33.76,93.08
"2025-04-01 03:05:00",35.6,33.76,93.08
"2025-04-01 03:15:00",35.6,33.76,93.08
"2025-04-01 03:30:00",35.6,33.76,93.08
"2025-04-01 03:45:00",35.6,33.76,93.08
"2025-04-01 03:56:00",35.96,33.04,89.15
"2025-04-01 04:07:00",37.4,33.75,86.68
"2025-04-01 04:20:00",37.4,33.75,86.68
"2025-04-01 04:35:00",37.4,33.75,86.68
"2025-04-01 04:45:00",37.4,33.75,86.68
"2025-04-01 04:56:00",37.04,33.03,85.42
"2025-04-01 05:10:00",37.4,33.75,86.68
"2025-04-01 05:25:00",37.4,33.75,86.68
"2025-04-01 05:40:00",37.4,33.75,86.68
"2025-04-01 05:50:00",37.4,33.75,86.68
"2025-04-01 06:00:00",37.4,33.75,86.68
"2025-04-01 06:15:00",37.4,33.75,86.68
"2025-04-01 06:30:00",37.4,33.75,86.68
"2025-04-01 06:41:00",37.4,30.09,74.96
"2025-04-01 06:55:00",37.4,30.09,74.96
"2025-04-01 07:05:00",35.6,31.95,86.58
"2025-04-01 07:20:00",35.6,31.95,86.58
"2025-04-01 07:32:00",35.6,31.95,86.58
"2025-04-01 07:45:00",35.6,31.95,86.58
"2025-04-01 07:56:00",35.96,31.95,85.35
"2025-04-01 08:10:00",33.8,31.96,93.02
"2025-04-01 08:23:00",33.8,31.96,93.02
"2025-04-01 08:35:00",33.8,30.15,86.48
"2025-04-01 08:50:00",33.8,30.15,86.48
"2025-04-01 09:00:00",33.8,31.96,93.02
"2025-04-01 09:14:00",35.6,33.76,93.08
"2025-04-01 09:25:00",35.6,33.76,93.08
"2025-04-01 09:40:00",37.4,30.09,74.96
"2025-04-01 09:55:00",35.6,30.11,80.49
"2025-04-01 10:05:00",35.6,31.95,86.58
"2025-04-01 10:20:00",35.6,30.11,80.49
"2025-04-01 10:30:00",35.6,31.95,86.58
"2025-04-01 10:40:00",35.6,30.11,80.49
"2025-04-01 10:55:00",35.6,30.11,80.49
"2025-04-01 11:05:00",35.6,30.11,80.49
"2025-04-01 11:19:00",35.6,28.29,74.78
"2025-04-01 11:30:00",35.6,26.47,69.43
"2025-04-01 11:40:00",37.4,26.46,64.66
"2025-04-01 11:55:00",37.4,26.46,64.66
"2025-04-01 12:05:00",37.4,28.27,69.64
"2025-04-01 12:20:00",37.4,26.46,64.66
"2025-04-01 12:35:00",39.2,26.44,60.26
"2025-04-01 12:50:00",39.2,24.62,55.91
"2025-04-01 13:00:00",39.2,24.62,55.91
"2025-04-01 13:15:00",39.2,24.62,55.91
"2025-04-01 13:30:00",41,24.6,52.13
"2025-04-01 13:45:00",41,22.78,48.34
"2025-04-01 13:56:00",41,21.7,46.19
"2025-04-01 14:10:00",41,24.6,52.13
"2025-04-01 14:25:00",42.8,24.6,48.64
"2025-04-01 14:40:00",39.2,20.98,48.05
"2025-04-01 14:55:00",41,22.78,48.34
"2025-04-01 15:05:00",41,24.6,52.13
"2025-04-01 15:20:00",39.2,24.62,55.91
"2025-04-01 15:35:00",39.2,24.62,55.91
"2025-04-01 15:50:00",39.2,22.8,51.85
"2025-04-01 16:00:00",39.2,24.62,55.91
"2025-04-01 16:15:00",41,24.6,52.13
"2025-04-01 16:30:00",41,24.6,52.13
"2025-04-01 16:45:00",39.2,26.44,60.26
"2025-04-01 16:56:00",39.92,22.78,50.41
"2025-04-01 17:10:00",37.4,26.46,64.66
"2025-04-01 17:25:00",39.2,28.26,64.9
"2025-04-01 17:35:00",39.2,28.26,64.9
"2025-04-01 17:50:00",37.4,28.27,69.64
"2025-04-01 18:00:00",37.4,28.27,69.64
"2025-04-01 18:15:00",39.2,26.44,60.26
"2025-04-01 18:30:00",39.2,26.44,60.26
"2025-04-01 18:45:00",37.4,28.27,69.64
"2025-04-01 18:56:00",37.04,27.91,69.6
"2025-04-01 19:10:00",35.6,28.29,74.78
"2025-04-01 19:25:00",35.6,28.29,74.78
"2025-04-01 19:40:00",37.4,26.46,64.66
"2025-04-01 19:55:00",35.6,26.47,69.43
"2025-04-01 20:05:00",35.6,26.47,69.43
